Iteration,Latitude,Longitude,Altitude,VelX,VelY,VelZ,AccelX,AccelY,AccelZ,Phi,Theta,Psi,PhiDot,ThetaDot,PsiDot,Articulated Landing Gear,Articulated Elevator,Articulated Rudder,Articulated Speed Brake,Articulated LW Aileron,Articulated LW Flap,Articulated RW Aileron,Articulated RW Flap,Articulated LH Elevator,Articulated RH Elevator,Articulated LW Roll Spoiler,Articulated RW Roll Spoiler,Articulated Propeller,Articulated Propeller 1,Articulated Propeller 2,Articulated Propeller 3,Articulated Propeller 4
114.500,0.87499038,0.18906659,1492.68237305,-1.93303,-153.77049,-1.45144,13.75046,-0.20489,-0.51380,0.92845,0.04437,-1.53875,-0.12018,-0.00760,0.07689,1.00000,0.00000,-0.01029,0.00000,0.05283,0.00000,-0.05283,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
114.525,0.87499037,0.18906565,1492.71838379,-1.59185,-153.77490,-1.45681,13.64719,-0.17645,-0.21492,0.92498,0.04415,-1.53695,-0.13889,-0.00884,0.07164,1.00000,0.00000,-0.01029,0.00000,0.05283,0.00000,-0.05283,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
114.550,0.87499037,0.18906471,1492.75439453,-1.25473,-153.77863,-1.45803,13.48517,-0.14890,-0.04891,0.92132,0.04392,-1.53527,-0.14657,-0.00952,0.06725,1.00000,0.00000,-0.00751,0.00000,0.01356,0.00000,-0.01356,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
114.575,0.87499037,0.18906377,1492.79040527,-0.92268,-153.78165,-1.45683,13.28188,-0.12109,0.04818,0.91757,0.04368,-1.53368,-0.14978,-0.00978,0.06359,1.00000,0.00000,-0.00751,0.00000,0.01356,0.00000,-0.01356,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
114.600,0.87499036,0.18906283,1492.82629395,-0.59625,-153.78404,-1.45333,13.05731,-0.09554,0.13982,0.91379,0.04344,-1.53217,-0.15120,-0.00969,0.06058,1.00000,0.00000,-0.00429,0.00000,-0.02571,0.00000,0.02571,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
114.625,0.87499036,0.18906189,1492.86230469,-0.27467,-153.78581,-1.44827,12.86283,-0.07060,0.20240,0.90999,0.04321,-1.53071,-0.15190,-0.00933,0.05815,1.00000,0.00000,-0.00429,0.00000,-0.02571,0.00000,0.02571,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
114.650,0.87499036,0.18906096,1492.89831543,0.04200,-153.78699,-1.44236,12.66695,-0.04715,0.23665,0.90619,0.04299,-1.52931,-0.15233,-0.00880,0.05618,1.00000,0.00000,0.00037,0.00000,-0.06498,0.00000,0.06498,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
114.675,0.87499036,0.18906002,1492.93432617,0.35375,-153.78761,-1.43536,12.47007,-0.02509,0.28004,0.90237,0.04279,-1.52795,-0.15265,-0.00816,0.05459,1.00000,0.00000,0.00037,0.00000,-0.06498,0.00000,0.06498,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
114.700,0.87499037,0.18905908,1492.97021484,0.66149,-153.78772,-1.42778,12.30954,-0.00407,0.30302,0.89855,0.04261,-1.52661,-0.15294,-0.00747,0.05331,1.00000,0.00000,0.00479,0.00000,-0.09996,0.00000,0.09996,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
114.725,0.87499037,0.18905814,1493.00622559,0.96515,-153.78725,-1.42015,12.14629,0.01865,0.30533,0.89472,0.04244,-1.52531,-0.15322,-0.00678,0.05229,1.00000,0.00000,0.00479,0.00000,-0.09996,0.00000,0.09996,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
