Iteration,Latitude,Longitude,Altitude,VelX,VelY,VelZ,AccelX,AccelY,AccelZ,Phi,Theta,Psi,PhiDot,ThetaDot,PsiDot,Articulated Landing Gear,Articulated Elevator,Articulated Rudder,Articulated Speed Brake,Articulated LW Aileron,Articulated LW Flap,Articulated RW Aileron,Articulated RW Flap,Articulated LH Elevator,Articulated RH Elevator,Articulated LW Roll Spoiler,Articulated RW Roll Spoiler,Articulated Propeller,Articulated Propeller 1,Articulated Propeller 2,Articulated Propeller 3,Articulated Propeller 4
0.000,0.87535988,0.19105105,1487.53686523,-0.12970,-153.74847,-0.00318,-0.00910,-0.00023,0.00366,0.00045,0.02033,-1.57163,-0.00000,-0.00003,0.00003,1.00000,0.00000,-0.00000,0.00000,-0.00002,0.00000,0.00002,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.025,0.87535988,0.19105010,1487.53686523,-0.12958,-153.74847,-0.00308,0.00456,-0.00023,0.00410,0.00045,0.02033,-1.57163,0.00000,-0.00003,0.00003,1.00000,0.00000,-0.00000,0.00000,-0.00002,0.00000,0.00002,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.050,0.87535988,0.19104916,1487.53698730,-0.12947,-153.74847,-0.00326,0.00454,-0.00024,-0.00729,0.00045,0.02033,-1.57163,0.00000,-0.00002,0.00003,1.00000,0.00000,-0.00000,0.00000,-0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.075,0.87535988,0.19104821,1487.53710938,-0.12970,-153.74847,-0.00317,-0.00910,-0.00022,0.00366,0.00045,0.02033,-1.57163,-0.00000,-0.00003,0.00003,1.00000,0.00000,-0.00000,0.00000,-0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.100,0.87535988,0.19104726,1487.53710938,-0.12958,-153.74847,-0.00307,0.00456,-0.00023,0.00410,0.00045,0.02033,-1.57163,0.00000,-0.00003,0.00003,1.00000,0.00000,0.00000,0.00000,0.00003,0.00000,-0.00003,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.125,0.87535988,0.19104631,1487.53723145,-0.12947,-153.74847,-0.00325,0.00454,-0.00024,-0.00729,0.00045,0.02033,-1.57163,0.00000,-0.00002,0.00003,1.00000,0.00000,0.00000,0.00000,0.00003,0.00000,-0.00003,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.150,0.87535988,0.19104535,1487.53723145,-0.12970,-153.74847,-0.00316,-0.00910,-0.00022,0.00366,0.00045,0.02033,-1.57163,-0.00000,-0.00003,0.00003,1.00000,0.00000,-0.00000,0.00000,-0.00002,0.00000,0.00002,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.175,0.87535988,0.19104439,1487.53735352,-0.12958,-153.74847,-0.00306,0.00456,-0.00023,0.00410,0.00045,0.02033,-1.57163,0.00000,-0.00003,0.00003,1.00000,0.00000,-0.00000,0.00000,-0.00002,0.00000,0.00002,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.200,0.87535987,0.19104342,1487.53747559,-0.12947,-153.74847,-0.00324,0.00454,-0.00024,-0.00729,0.00045,0.02033,-1.57163,0.00000,-0.00002,0.00003,1.00000,0.00000,-0.00000,0.00000,-0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.225,0.87535987,0.19104245,1487.53747559,-0.12970,-153.74847,-0.00315,-0.00910,-0.00022,0.00366,0.00045,0.02033,-1.57163,-0.00000,-0.00003,0.00003,1.00000,0.00000,-0.00000,0.00000,-0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.250,0.87535987,0.19104148,1487.53759766,-0.12958,-153.74847,-0.00305,0.00456,-0.00023,0.00410,0.00045,0.02033,-1.57163,0.00000,-0.00003,0.00003,1.00000,0.00000,0.00000,0.00000,0.00003,0.00000,-0.00003,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.275,0.87535987,0.19104050,1487.53759766,-0.12947,-153.74847,-0.00323,0.00454,-0.00024,-0.00729,0.00045,0.02033,-1.57163,0.00000,-0.00002,0.00003,1.00000,0.00000,0.00000,0.00000,0.00003,0.00000,-0.00003,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.300,0.87535987,0.19103952,1487.53771973,-0.12970,-153.74847,-0.00314,-0.00910,-0.00022,0.00366,0.00045,0.02033,-1.57163,-0.00000,-0.00003,0.00003,1.00000,0.00000,-0.00000,0.00000,-0.00002,0.00000,0.00002,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.325,0.87535987,0.19103854,1487.53784180,-0.12958,-153.74847,-0.00303,0.00456,-0.00023,0.00410,0.00045,0.02033,-1.57163,0.00000,-0.00002,0.00003,1.00000,0.00000,-0.00000,0.00000,-0.00002,0.00000,0.00002,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
0.350,0.87535987,0.19103755,1487.53784180,-0.12947,-153.74847,-0.00322,0.00454,-0.00024,-0.00729,0.00045,0.02033,-1.57163,0.00000,-0.00002,0.00003,1.00000,0.00000,-0.00000,0.00000,-0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
