Iteration,Latitude,Longitude,Altitude,VelX,VelY,VelZ,AccelX,AccelY,AccelZ,Phi,Theta,Psi,PhiDot,ThetaDot,PsiDot,Articulated Landing Gear,Articulated Elevator,Articulated Rudder,Articulated Speed Brake,Articulated LW Aileron,Articulated LW Flap,Articulated RW Aileron,Articulated RW Flap
0.000,-0.57227501,2.64984799,11.37145615,0.00023,0.00020,-0.00000,0.00000,-0.00000,-0.00000,-0.00004,0.01220,2.27406,0.00001,0.00000,-0.00006,0.00000,0.00000,0.00362,0.00000,-0.00386,0.43633,0.00382,0.43633
0.033,-0.57227501,2.64984799,11.37145615,0.00028,0.00023,0.00001,-0.00000,0.00000,0.00000,-0.00004,0.01220,2.27406,0.00009,-0.00000,-0.00003,0.00000,0.00000,0.00362,0.00000,-0.00386,0.43633,0.00382,0.43633
0.066,-0.57227501,2.64984799,11.37145615,0.00030,0.00025,0.00001,0.00000,0.00000,0.00000,-0.00003,0.01220,2.27406,0.00000,-0.00000,-0.00001,0.00000,0.00000,0.00362,0.00000,-0.00386,0.43633,0.00382,0.43633
0.100,-0.57227501,2.64984799,11.37145615,0.00038,0.00031,0.00001,0.00000,0.00000,0.00000,-0.00003,0.01220,2.27406,-0.00000,-0.00000,0.00002,0.00000,0.00000,0.00362,0.00000,-0.00386,0.43633,0.00382,0.43633
0.133,-0.57227501,2.64984799,11.37145615,0.00042,0.00036,0.00000,0.00000,0.00000,0.00000,-0.00003,0.01220,2.27406,0.00001,0.00000,-0.00000,0.00000,0.00000,0.00362,0.00000,-0.00386,0.43633,0.00382,0.43633
0.167,-0.57227501,2.64984799,11.37145615,0.00045,0.00038,0.00001,0.00000,-0.00000,0.00000,-0.00004,0.01220,2.27406,-0.00005,0.00000,-0.00003,0.00000,0.00000,0.00362,0.00000,-0.00386,0.43633,0.00382,0.43633
0.200,-0.57227501,2.64984799,11.37145615,0.00044,0.00037,0.00001,0.00000,-0.00000,0.00000,-0.00004,0.01220,2.27406,-0.00012,0.00000,-0.00003,0.00000,0.00000,0.00362,0.00000,-0.00386,0.43633,0.00382,0.43633
0.234,-0.57227501,2.64984799,11.37145615,0.00046,0.00039,0.00001,0.00000,0.00000,0.00000,-0.00004,0.01220,2.27406,-0.00001,-0.00000,0.00000,0.00000,0.00000,0.00362,0.00000,-0.00386,0.43633,0.00382,0.43633
0.266,-0.57227501,2.64984799,11.37145615,0.00041,0.00034,0.00000,0.00000,0.00000,0.00000,-0.00004,0.01220,2.27406,-0.00003,-0.00000,0.00002,0.00000,0.00000,0.00362,0.00000,-0.00386,0.43633,0.00382,0.43633
0.300,-0.57227501,2.64984799,11.37145615,0.00038,0.00032,0.00000,0.00000,0.00000,0.00000,-0.00004,0.01220,2.27406,-0.00000,-0.00000,-0.00001,0.00000,0.00000,0.00362,0.00000,-0.00386,0.43633,0.00382,0.43633
0.333,-0.57227501,2.64984799,11.37145615,0.00032,0.00028,0.00001,0.00000,-0.00000,0.00000,-0.00004,0.01220,2.27406,-0.00003,0.00000,-0.00004,0.00000,0.00000,0.00362,0.00000,-0.00386,0.43633,0.00382,0.43633
0.366,-0.57227501,2.64984799,11.37145615,0.00035,0.00030,0.00001,0.00000,-0.00000,-0.00000,-0.00004,0.01220,2.27406,0.00011,-0.00000,-0.00002,0.00000,0.00000,0.00362,0.00000,-0.00386,0.43633,0.00382,0.43633
