Iteration,Latitude,Longitude,Altitude,VelX,VelY,VelZ,AccelX,AccelY,AccelZ,Phi,Theta,Psi,PhiDot,ThetaDot,PsiDot,Articulated Landing Gear,Articulated Elevator,Articulated Rudder,Articulated Speed Brake,Articulated LW Aileron,Articulated LW Flap,Articulated RW Aileron,Articulated RW Flap
0.400,-0.57227501,2.64984799,11.37145615,0.00027,0.00022,0.00000,0.00000,0.00000,0.00000,-0.00004,0.01220,2.27406,0.00010,-0.00000,0.00001,0.00000,0.00000,0.00362,0.00000,-0.00386,0.43633,0.00382,0.43633
0.433,-0.57227501,2.64984799,11.37145615,0.00023,0.00020,0.00001,0.00000,-0.00000,0.00000,-0.00004,0.01220,2.27406,0.00001,-0.00000,0.00002,0.00000,0.00000,0.00362,0.00000,-0.00386,0.43633,0.00382,0.43633
0.467,-0.57227501,2.64984799,11.37145615,0.00027,0.00023,0.00001,0.00000,-0.00000,0.00000,-0.00004,0.01220,2.27406,-0.00002,0.00000,-0.00003,0.00000,0.00000,0.00362,0.00000,-0.00386,0.43633,0.00382,0.43633
0.500,-0.57227501,2.64984799,11.37145615,0.00035,0.00029,0.00001,-0.00000,0.00000,0.00000,-0.00003,0.01220,2.27406,0.00005,-0.00000,-0.00001,0.00000,0.00000,0.00362,0.00000,-0.00386,0.43633,0.00382,0.43633
0.533,-0.57227501,2.64984799,11.37145615,0.00038,0.00031,0.00000,0.00000,0.00000,0.00000,-0.00003,0.01220,2.27406,-0.00003,-0.00000,0.00000,0.00000,0.00000,0.00362,0.00000,-0.00386,0.43633,0.00382,0.43633
0.566,-0.57227501,2.64984799,11.37145615,0.00039,0.00032,0.00001,-0.00000,0.00000,0.00000,-0.00004,0.01220,2.27406,-0.00011,-0.00000,0.00001,0.00000,0.00000,0.00362,0.00000,-0.00386,0.43633,0.00382,0.43633
0.600,-0.57227501,2.64984799,11.37145615,0.00047,0.00039,0.00001,0.00000,0.00000,0.00000,-0.00004,0.01220,2.27406,0.00001,0.00000,-0.00000,0.00000,0.00000,0.00362,0.00000,-0.00386,0.43633,0.00382,0.43633
0.633,-0.57227501,2.64984799,11.37145615,0.00046,0.00039,0.00001,0.00000,0.00000,0.00000,-0.00004,0.01220,2.27406,-0.00003,0.00000,-0.00001,0.00000,0.00000,0.00362,0.00000,-0.00386,0.43633,0.00382,0.43633
0.668,-0.57227501,2.64984799,11.37145615,0.00043,0.00036,0.00000,0.00000,-0.00000,0.00000,-0.00004,0.01220,2.27406,-0.00010,0.00000,-0.00000,0.00000,0.00000,0.00362,0.00000,-0.00386,0.43633,0.00382,0.43633
0.700,-0.57227501,2.64984799,11.37145615,0.00049,0.00041,0.00001,0.00000,0.00000,0.00000,-0.00004,0.01220,2.27406,0.00006,0.00000,-0.00001,0.00000,0.00000,0.00362,0.00000,-0.00386,0.43633,0.00382,0.43633
0.733,-0.57227501,2.64984799,11.37145615,0.00041,0.00035,0.00001,-0.00000,0.00000,0.00000,-0.00004,0.01220,2.27406,0.00006,0.00000,-0.00001,0.00000,0.00000,0.00362,0.00000,-0.00386,0.43633,0.00382,0.43633
0.766,-0.57227501,2.64984799,11.37145615,0.00036,0.00030,0.00001,0.00000,0.00000,0.00000,-0.00004,0.01220,2.27406,-0.00001,0.00000,-0.00000,0.00000,0.00000,0.00362,0.00000,-0.00386,0.43633,0.00382,0.43633
0.800,-0.57227501,2.64984799,11.37145615,0.00031,0.00026,0.00000,0.00000,0.00000,0.00000,-0.00004,0.01220,2.27406,-0.00008,0.00000,0.00000,0.00000,0.00000,0.00362,0.00000,-0.00386,0.43633,0.00382,0.43633
0.833,-0.57227501,2.64984799,11.37145615,0.00036,0.00030,0.00001,-0.00000,0.00000,0.00000,-0.00004,0.01220,2.27406,0.00009,0.00000,-0.00000,0.00000,0.00000,0.00362,0.00000,-0.00386,0.43633,0.00382,0.43633
0.866,-0.57227501,2.64984799,11.37145615,0.00034,0.00029,0.00001,0.00000,0.00000,0.00000,-0.00004,0.01220,2.27406,0.00004,0.00000,-0.00000,0.00000,0.00000,0.00362,0.00000,-0.00386,0.43633,0.00382,0.43633
0.900,-0.57227501,2.64984799,11.37145615,0.00033,0.00028,0.00001,0.00000,0.00000,0.00000,-0.00004,0.01220,2.27406,-0.00006,0.00000,0.00000,0.00000,0.00000,0.00362,0.00000,-0.00386,0.43633,0.00382,0.43633
0.933,-0.57227501,2.64984799,11.37145615,0.00041,0.00035,0.00000,0.00000,0.00000,0.00000,-0.00004,0.01220,2.27406,0.00005,0.00000,-0.00000,0.00000,0.00000,0.00362,0.00000,-0.00386,0.43633,0.00382,0.43633
0.966,-0.57227501,2.64984799,11.37145615,0.00042,0.00036,0.00001,0.00000,0.00000,0.00000,-0.00003,0.01220,2.27406,-0.00003,-0.00000,-0.00000,0.00000,0.00000,0.00362,0.00000,-0.00386,0.43633,0.00382,0.43633
1.000,-0.57227501,2.64984799,11.37145615,0.00041,0.00035,0.00001,0.00000,0.00000,0.00000,-0.00004,0.01220,2.27406,-0.00011,-0.00000,0.00000,0.00000,0.00000,0.00362,0.00000,-0.00386,0.43633,0.00382,0.43633
1.033,-0.57227501,2.64984799,11.37145615,0.00047,0.00040,0.00001,0.00000,0.00000,0.00000,-0.00004,0.01220,2.27406,0.00002,0.00000,-0.00000,0.00000,0.00000,0.00362,0.00000,-0.00386,0.43633,0.00382,0.43633
1.066,-0.57227501,2.64984799,11.37145615,0.00045,0.00038,0.00000,0.00000,0.00000,0.00000,-0.00004,0.01220,2.27406,-0.00002,0.00000,-0.00000,0.00000,0.00000,0.00362,0.00000,-0.00386,0.43633,0.00382,0.43633
1.100,-0.57227501,2.64984799,11.37145615,0.00041,0.00035,0.00001,0.00000,0.00000,0.00000,-0.00004,0.01220,2.27406,-0.00009,-0.00000,0.00000,0.00000,0.00000,0.00362,0.00000,-0.00386,0.43633,0.00382,0.43633
1.133,-0.57227501,2.64984799,11.37145615,0.00047,0.00040,0.00001,0.00000,0.00000,0.00000,-0.00004,0.01220,2.27406,0.00007,0.00000,0.00000,0.00000,0.00000,0.00362,0.00000,-0.00386,0.43633,0.00382,0.43633
1.166,-0.57227501,2.64984799,11.37145615,0.00039,0.00033,0.00001,0.00000,0.00000,0.00000,-0.00004,0.01220,2.27406,0.00007,0.00000,-0.00000,0.00000,0.00000,0.00362,0.00000,-0.00386,0.43633,0.00382,0.43633
1.200,-0.57227501,2.64984799,11.37145615,0.00035,0.00029,0.00000,0.00000,0.00000,0.00000,-0.00004,0.01220,2.27406,-0.00000,0.00000,0.00000,0.00000,0.00000,0.00362,0.00000,-0.00386,0.43633,0.00382,0.43633
1.233,-0.57227501,2.64984799,11.37145615,0.00030,0.00025,0.00001,-0.00000,0.00000,0.00000,-0.00004,0.01220,2.27406,-0.00008,-0.00000,0.00000,0.00000,0.00000,0.00362,0.00000,-0.00386,0.43633,0.00382,0.43633
1.266,-0.57227501,2.64984799,11.37145615,0.00036,0.00030,0.00001,0.00000,0.00000,0.00000,-0.00004,0.01220,2.27406,0.00009,0.00000,-0.00000,0.00000,0.00000,0.00362,0.00000,-0.00386,0.43633,0.00382,0.43633
1.300,-0.57227501,2.64984799,11.37145615,0.00035,0.00030,0.00001,0.00000,0.00000,0.00000,-0.00004,0.01220,2.27406,0.00003,0.00000,-0.00000,0.00000,0.00000,0.00362,0.00000,-0.00386,0.43633,0.00382,0.43633
1.333,-0.57227501,2.64984799,11.37145615,0.00034,0.00029,0.00000,0.00000,0.00000,0.00000,-0.00004,0.01220,2.27406,-0.00007,0.00000,0.00000,0.00000,0.00000,0.00362,0.00000,-0.00386,0.43633,0.00382,0.43633
1.366,-0.57227501,2.64984799,11.37145615,0.00034,0.00030,0.00001,0.00000,-0.00000,0.00000,-0.00004,0.01220,2.27406,-0.00009,0.00000,-0.00004,0.00000,0.00000,0.00362,0.00000,-0.00386,0.43633,0.00382,0.43633
1.400,-0.57227501,2.64984799,11.37145615,0.00038,0.00033,0.00001,-0.00000,0.00000,0.00000,-0.00004,0.01220,2.27406,0.00005,0.00000,-0.00001,0.00000,0.00000,0.00362,0.00000,-0.00386,0.43633,0.00382,0.43633
1.434,-0.57227501,2.64984799,11.37145615,0.00036,0.00030,0.00001,0.00000,-0.00000,0.00000,-0.00004,0.01220,2.27406,0.00001,-0.00000,0.00001,0.00000,0.00000,0.00362,0.00000,-0.00386,0.43633,0.00382,0.43633
1.466,-0.57227501,2.64984799,11.37145615,0.00033,0.00028,0.00000,-0.00000,0.00000,0.00000,-0.00004,0.01220,2.27406,-0.00006,-0.00000,0.00002,0.00000,0.00000,0.00362,0.00000,-0.00386,0.43633,0.00382,0.43633
1.500,-0.57227501,2.64984799,11.37145615,0.00033,0.00028,0.00001,0.00000,-0.00000,0.00000,-0.00004,0.01220,2.27406,-0.00006,0.00000,-0.00002,0.00000,0.00000,0.00362,0.00000,-0.00386,0.43633,0.00382,0.43633
1.533,-0.57227501,2.64984799,11.37145615,0.00036,0.00031,0.00001,0.00000,0.00000,0.00000,-0.00004,0.01220,2.27406,0.00007,-0.00000,0.00000,0.00000,0.00000,0.00362,0.00000,-0.00386,0.43633,0.00382,0.43633
1.566,-0.57227501,2.64984799,11.37145615,0.00034,0.00029,0.00001,0.00000,-0.00000,0.00000,-0.00004,0.01220,2.27406,0.00002,-0.00000,0.00001,0.00000,0.00000,0.00362,0.00000,-0.00386,0.43633,0.00382,0.43633
1.600,-0.57227501,2.64984799,11.37145615,0.00032,0.00027,0.00000,-0.00000,0.00000,0.00000,-0.00004,0.01220,2.27406,-0.00007,-0.00000,0.00002,0.00000,0.00000,0.00362,0.00000,-0.00386,0.43633,0.00382,0.43633
1.633,-0.57227501,2.64984799,11.37145615,0.00033,0.00028,0.00001,0.00000,-0.00000,0.00000,-0.00004,0.01220,2.27406,-0.00007,0.00000,-0.00003,0.00000,0.00000,0.00362,0.00000,-0.00386,0.43633,0.00382,0.43633
1.666,-0.57227501,2.64984799,11.37145615,0.00037,0.00031,0.00001,-0.00000,0.00000,0.00000,-0.00004,0.01220,2.27406,0.00007,0.00000,0.00000,0.00000,0.00000,0.00362,0.00000,-0.00386,0.43633,0.00382,0.43633
1.700,-0.57227501,2.64984799,11.37145615,0.00035,0.00029,0.00001,0.00000,-0.00000,0.00000,-0.00004,0.01220,2.27406,0.00002,0.00000,0.00001,0.00000,0.00000,0.00362,0.00000,-0.00386,0.43633,0.00382,0.43633
1.733,-0.57227501,2.64984799,11.37145615,0.00033,0.00027,0.00000,-0.00000,0.00000,0.00000,-0.00004,0.01220,2.27406,-0.00006,0.00000,0.00002,0.00000,0.00000,0.00362,0.00000,-0.00386,0.43633,0.00382,0.43633
1.767,-0.57227501,2.64984799,11.37145615,0.00033,0.00029,0.00001,0.00000,-0.00000,0.00000,-0.00004,0.01220,2.27406,-0.00007,0.00000,-0.00003,0.00000,0.00000,0.00362,0.00000,-0.00386,0.43633,0.00382,0.43633
1.800,-0.57227501,2.64984799,11.37145615,0.00037,0.00031,0.00001,-0.00000,0.00000,0.00000,-0.00004,0.01220,2.27406,0.00007,0.00000,-0.00000,0.00000,0.00000,0.00362,0.00000,-0.00386,0.43633,0.00382,0.43633
1.833,-0.57227501,2.64984799,11.37145615,0.00035,0.00029,0.00001,0.00000,-0.00000,0.00000,-0.00004,0.01220,2.27406,0.00002,-0.00000,0.00001,0.00000,0.00000,0.00362,0.00000,-0.00386,0.43633,0.00382,0.43633
1.866,-0.57227501,2.64984799,11.37145615,0.00033,0.00028,0.00000,-0.00000,0.00000,0.00000,-0.00004,0.01220,2.27406,-0.00007,-0.00000,0.00002,0.00000,0.00000,0.00362,0.00000,-0.00386,0.43633,0.00382,0.43633
1.900,-0.57227501,2.64984799,11.37145615,0.00033,0.00029,0.00000,0.00000,-0.00000,0.00000,-0.00004,0.01220,2.27406,-0.00007,0.00000,-0.00003,0.00000,0.00000,0.00362,0.00000,-0.00386,0.43633,0.00382,0.43633
1.933,-0.57227501,2.64984799,11.37145615,0.00037,0.00031,0.00001,-0.00000,0.00000,0.00000,-0.00004,0.01220,2.27406,0.00007,0.00000,-0.00000,0.00000,0.00000,0.00362,0.00000,-0.00386,0.43633,0.00382,0.43633
1.966,-0.57227501,2.64984799,11.37145615,0.00035,0.00029,0.00001,0.00000,-0.00000,0.00000,-0.00004,0.01220,2.27406,0.00002,-0.00000,0.00001,0.00000,0.00000,0.00362,0.00000,-0.00386,0.43633,0.00382,0.43633
2.000,-0.57227501,2.64984799,11.37145615,0.00032,0.00028,0.00000,-0.00000,0.00000,0.00000,-0.00004,0.01220,2.27406,-0.00006,-0.00000,0.00002,0.00000,0.00000,0.00362,0.00000,-0.00386,0.43633,0.00382,0.43633
2.033,-0.57227501,2.64984799,11.37145615,0.00032,0.00029,0.00001,0.00000,-0.00000,0.00000,-0.00004,0.01220,2.27406,-0.00007,-0.00000,-0.00003,0.00000,0.00000,0.00362,0.00000,-0.00386,0.43633,0.00382,0.43633
2.066,-0.57227501,2.64984799,11.37145615,0.00036,0.00032,0.00001,0.00000,0.00000,0.00000,-0.00004,0.01220,2.27406,0.00007,-0.00000,-0.00000,0.00000,0.00000,0.00362,0.00000,-0.00386,0.43633,0.00382,0.43633
2.100,-0.57227501,2.64984799,11.37145615,0.00034,0.00030,0.00001,0.00000,-0.00000,0.00000,-0.00004,0.01220,2.27406,0.00002,-0.00000,0.00001,0.00000,0.00000,0.00362,0.00000,-0.00386,0.43633,0.00382,0.43633
2.133,-0.57227501,2.64984799,11.37145615,0.00031,0.00029,0.00001,-0.00000,0.00000,0.00000,-0.00004,0.01220,2.27406,-0.00007,-0.00000,0.00002,0.00000,0.00000,0.00362,0.00000,-0.00386,0.43633,0.00382,0.43633
2.166,-0.57227501,2.64984799,11.37145615,0.00031,0.00031,0.00001,0.00000,-0.00000,0.00000,-0.00004,0.01220,2.27406,-0.00007,-0.00001,-0.00003,0.00000,0.00000,0.00362,0.00000,-0.00386,0.43633,0.00382,0.43633
2.200,-0.57227501,2.64984799,11.37145615,0.00034,0.00035,0.00001,0.00000,0.00000,0.00000,-0.00004,0.01220,2.27406,0.00007,-0.00001,-0.00000,0.00000,0.00000,0.00362,0.00000,-0.00386,0.43633,0.00382,0.43633
2.233,-0.57227501,2.64984799,11.37145615,0.00031,0.00034,0.00001,0.00000,0.00000,0.00000,-0.00004,0.01220,2.27406,0.00002,-0.00001,0.00001,0.00000,0.00000,0.00362,0.00000,-0.00386,0.43633,0.00382,0.43633
2.266,-0.57227501,2.64984799,11.37145615,0.00027,0.00034,0.00001,-0.00000,-0.00000,0.00000,-0.00004,0.01220,2.27406,-0.00007,-0.00002,0.00002,0.00000,0.00000,0.00362,0.00000,-0.00386,0.43633,0.00382,0.43633
2.300,-0.57227501,2.64984799,11.37145615,0.00026,0.00037,0.00002,0.00000,-0.00000,0.00000,-0.00004,0.01220,2.27406,-0.00007,-0.00002,-0.00003,0.00000,0.00000,0.00362,0.00000,-0.00386,0.43633,0.00382,0.43633
2.333,-0.57227501,2.64984799,11.37145615,0.00028,0.00042,0.00002,0.00000,0.00000,0.00000,-0.00004,0.01220,2.27406,0.00007,-0.00003,-0.00000,0.00000,0.00000,0.00362,0.00000,-0.00386,0.43633,0.00382,0.43633
2.367,-0.57227501,2.64984799,11.37145615,0.00023,0.00043,0.00003,0.00000,-0.00000,0.00000,-0.00004,0.01219,2.27406,0.00002,-0.00004,0.00001,0.00000,0.00000,0.00362,0.00000,-0.00386,0.43633,0.00382,0.43633
2.400,-0.57227501,2.64984799,11.37145615,0.00018,0.00045,0.00003,-0.00000,-0.00000,0.00000,-0.00004,0.01219,2.27406,-0.00007,-0.00005,0.00002,0.00000,0.00000,0.00362,0.00000,-0.00386,0.43633,0.00382,0.43633
2.433,-0.57227501,2.64984799,11.37145615,0.00016,0.00050,0.00004,0.00000,-0.00000,0.00000,-0.00004,0.01219,2.27406,-0.00007,-0.00007,-0.00003,0.00000,0.00000,0.00362,0.00000,-0.00386,0.43633,0.00382,0.43633
2.467,-0.57227501,2.64984799,11.37145615,0.00016,0.00057,0.00006,0.00000,-0.00000,0.00000,-0.00004,0.01219,2.27406,0.00007,-0.00008,-0.00000,0.00000,0.00000,0.00362,0.00000,-0.00386,0.43633,0.00382,0.43633
2.500,-0.57227501,2.64984799,11.37145615,0.00009,0.00060,0.00007,0.00000,-0.00000,0.00000,-0.00004,0.01218,2.27406,0.00002,-0.00010,0.00001,0.00000,0.00000,0.00362,0.00000,-0.00386,0.43633,0.00382,0.43633
2.533,-0.57227501,2.64984799,11.37145615,0.00003,0.00064,0.00008,0.00000,-0.00000,0.00000,-0.00004,0.01218,2.27406,-0.00007,-0.00012,0.00002,0.00000,0.00000,0.00362,0.00000,-0.00386,0.43633,0.00382,0.43633
2.568,-0.57227501,2.64984799,11.37145615,-0.00001,0.00071,0.00009,0.00000,-0.00000,0.00000,-0.00004,0.01218,2.27406,-0.00007,-0.00014,-0.00003,0.00000,0.00000,0.00362,0.00000,-0.00386,0.43633,0.00382,0.43633
2.600,-0.57227501,2.64984799,11.37145233,-0.00003,0.00080,0.00011,0.00000,-0.00000,0.00000,-0.00004,0.01217,2.27406,0.00007,-0.00017,-0.00000,0.00000,0.00000,0.00362,0.00000,-0.00386,0.43633,0.00382,0.43633
2.634,-0.57227501,2.64984799,11.37144470,-0.00010,0.00084,0.00013,0.00000,-0.00000,0.00000,-0.00004,0.01217,2.27406,0.00002,-0.00019,0.00001,0.00000,0.00000,0.00362,0.00000,-0.00386,0.43633,0.00382,0.43633
2.667,-0.57227501,2.64984799,11.37144089,-0.00016,0.00088,0.00014,0.00000,-0.00000,0.00000,-0.00004,0.01216,2.27406,-0.00007,-0.00022,0.00002,0.00000,0.00000,0.00362,0.00000,-0.00386,0.43633,0.00382,0.43633
2.700,-0.57227501,2.64984799,11.37143421,-0.00019,0.00093,0.00016,0.00000,-0.00000,0.00000,-0.00004,0.01215,2.27406,-0.00007,-0.00024,-0.00003,0.00000,0.00000,0.00362,0.00000,-0.00386,0.43633,0.00382,0.43633
2.733,-0.57227501,2.64984799,11.37142849,-0.00019,0.00100,0.00018,0.00000,-0.00000,0.00000,-0.00004,0.01214,2.27406,0.00007,-0.00026,-0.00000,0.00000,0.00000,0.00362,0.00000,-0.00386,0.43633,0.00382,0.43633
2.767,-0.57227501,2.64984799,11.37142372,-0.00024,0.00102,0.00020,0.00000,-0.00000,0.00000,-0.00004,0.01213,2.27406,0.00002,-0.00027,0.00001,0.00000,0.00000,0.00362,0.00000,-0.00386,0.43633,0.00382,0.43633
2.800,-0.57227501,2.64984799,11.37141705,-0.00028,0.00102,0.00021,0.00000,-0.00000,0.00000,-0.00004,0.01212,2.27406,-0.00007,-0.00028,0.00002,0.00000,0.00000,0.00362,0.00000,-0.00386,0.43633,0.00382,0.43633
2.833,-0.57227501,2.64984799,11.37141037,-0.00028,0.00105,0.00022,0.00000,-0.00000,0.00000,-0.00004,0.01211,2.27406,-0.00007,-0.00029,-0.00003,0.00000,0.00000,0.00362,0.00000,-0.00386,0.43633,0.00382,0.43633
2.868,-0.57227501,2.64984799,11.37140274,-0.00026,0.00109,0.00024,0.00000,-0.00000,0.00000,-0.00004,0.01211,2.27406,0.00007,-0.00030,-0.00000,0.00000,0.00000,0.00362,0.00000,-0.00386,0.43633,0.00382,0.43633
2.900,-0.57227501,2.64984799,11.37139606,-0.00028,0.00108,0.00024,0.00000,-0.00000,0.00000,-0.00004,0.01210,2.27406,0.00002,-0.00030,0.00001,0.00000,0.00000,0.00362,0.00000,-0.00386,0.43633,0.00382,0.43633
2.933,-0.57227501,2.64984799,11.37138748,-0.00031,0.00107,0.00025,0.00000,-0.00000,0.00000,-0.00004,0.01208,2.27406,-0.00007,-0.00031,0.00002,0.00000,0.00000,0.00362,0.00000,-0.00386,0.43633,0.00382,0.43633
2.968,-0.57227501,2.64984799,11.37137985,-0.00031,0.00109,0.00025,0.00000,-0.00000,0.00000,-0.00004,0.01207,2.27406,-0.00007,-0.00031,-0.00003,0.00000,0.00000,0.00362,0.00000,-0.00386,0.43633,0.00382,0.43633
3.000,-0.57227501,2.64984799,11.37137127,-0.00028,0.00113,0.00025,0.00000,-0.00000,0.00000,-0.00004,0.01206,2.27406,0.00007,-0.00031,-0.00000,0.00000,0.00000,0.00362,0.00000,-0.00386,0.43633,0.00382,0.43633
3.033,-0.57227501,2.64984799,11.37136364,-0.00030,0.00112,0.00025,0.00000,-0.00000,0.00000,-0.00004,0.01205,2.27406,0.00002,-0.00031,0.00001,0.00000,0.00000,0.00362,0.00000,-0.00386,0.43633,0.00382,0.43633
3.067,-0.57227501,2.64984799,11.37135506,-0.00033,0.00111,0.00025,0.00000,-0.00000,0.00000,-0.00004,0.01204,2.27406,-0.00007,-0.00032,0.00002,0.00000,0.00000,0.00362,0.00000,-0.00386,0.43633,0.00382,0.43633
3.100,-0.57227501,2.64984799,11.37134743,-0.00033,0.00113,0.00025,0.00000,-0.00000,0.00000,-0.00004,0.01203,2.27406,-0.00007,-0.00032,-0.00004,0.00000,0.00000,0.00362,0.00000,-0.00386,0.43633,0.00382,0.43633
3.133,-0.57227501,2.64984799,11.37133884,-0.00030,0.00117,0.00025,0.00000,-0.00000,0.00000,-0.00004,0.01202,2.27406,0.00007,-0.00032,-0.00000,0.00000,0.00000,0.00362,0.00000,-0.00386,0.43633,0.00382,0.43633
3.168,-0.57227501,2.64984799,11.37133121,-0.00033,0.00117,0.00026,0.00000,-0.00000,0.00000,-0.00004,0.01201,2.27406,0.00002,-0.00033,0.00001,0.00000,0.00000,0.00362,0.00000,-0.00386,0.43633,0.00382,0.43633
3.200,-0.57227501,2.64984799,11.37132263,-0.00038,0.00117,0.00026,0.00000,-0.00000,0.00000,-0.00004,0.01200,2.27406,-0.00007,-0.00033,0.00002,0.00000,0.00000,0.00362,0.00000,-0.00386,0.43633,0.00382,0.43633
3.233,-0.57227501,2.64984799,11.37131310,-0.00040,0.00122,0.00027,0.00000,-0.00000,0.00000,-0.00004,0.01199,2.27406,-0.00007,-0.00034,-0.00004,0.00000,0.00000,0.00362,0.00000,-0.00386,0.43633,0.00382,0.43633
3.268,-0.57227501,2.64984799,11.37130451,-0.00041,0.00131,0.00028,0.00000,-0.00000,0.00000,-0.00004,0.01198,2.27406,0.00007,-0.00035,-0.00000,0.00000,0.00000,0.00362,0.00000,-0.00386,0.43633,0.00382,0.43633
3.300,-0.57227501,2.64984799,11.37129593,-0.00049,0.00136,0.00029,0.00000,-0.00000,0.00000,-0.00004,0.01197,2.27406,0.00002,-0.00038,0.00001,0.00000,0.00000,0.00362,0.00000,-0.00386,0.43633,0.00382,0.43633
3.333,-0.57227501,2.64984799,11.37128639,-0.00058,0.00143,0.00030,0.00000,-0.00000,0.00000,-0.00004,0.01195,2.27406,-0.00007,-0.00040,0.00002,0.00000,0.00000,0.00362,0.00000,-0.00386,0.43633,0.00382,0.43633
3.367,-0.57227501,2.64984799,11.37127590,-0.00065,0.00154,0.00032,0.00000,-0.00000,0.00000,-0.00004,0.01194,2.27406,-0.00008,-0.00044,-0.00004,0.00000,0.00000,0.00362,0.00000,-0.00386,0.43633,0.00382,0.43633
3.400,-0.57227501,2.64984799,11.37126637,-0.00070,0.00168,0.00034,0.00000,-0.00000,0.00000,-0.00004,0.01192,2.27406,0.00007,-0.00048,-0.00001,0.00000,0.00000,0.00362,0.00000,-0.00386,0.43633,0.00382,0.43633
3.433,-0.57227501,2.64984799,11.37125587,-0.00081,0.00177,0.00037,0.00000,-0.00000,0.00000,-0.00004,0.01191,2.27406,0.00002,-0.00052,0.00001,0.00000,0.00000,0.00362,0.00000,-0.00386,0.43633,0.00382,0.43633
3.467,-0.57227501,2.64984799,11.37124538,-0.00094,0.00189,0.00040,0.00000,-0.00000,0.00000,-0.00004,0.01189,2.27406,-0.00008,-0.00056,0.00002,0.00000,0.00000,0.00362,0.00000,-0.00386,0.43633,0.00382,0.43633
3.500,-0.57227501,2.64984799,11.37123394,-0.00106,0.00205,0.00043,0.00000,-0.00000,0.00000,-0.00004,0.01187,2.27406,-0.00008,-0.00060,-0.00004,0.00000,0.00000,0.00362,0.00000,-0.00386,0.43633,0.00382,0.43633
3.533,-0.57227501,2.64984799,11.37122250,-0.00111,0.00226,0.00047,0.00000,-0.00000,0.00000,-0.00004,0.01185,2.27405,0.00008,-0.00064,-0.00002,0.00000,0.00000,0.00362,0.00000,-0.00386,0.43633,0.00382,0.43633
